Image,Name,DMG,SPD,PWR,BDMG 0,BDMG 1,BDMG 2,BDMG 3,HDMG 0,HDMG 1,HDMG 2,HDMG 3
Icon weapon ACE32,ACE32,43,720 m/s,,,,,,,,,
Icon weapon HK416,M416,40,780 m/s,3,500,40,28,24,18,94,65.80,56.40,42.30
Icon weapon M79,M79,,,,,,,,,,,
Icon weapon MG3,MG3,42,820 m/s,,,,,,,,,
Icon weapon MP5K,MP5K,33,400 m/s,7,000,33,23,19.80,14.80,59.40,41.50,35.60,26.70
Icon weapon UZI,Micro UZI,26,350 m/s,5,000,26,18.20,15.60,11.70,46.80,32.70,28,21
Icon weapon Mini14,Mini 14,46,990 m/s,10,000,48.30,33.80,28.90,21.70,108.10,75.60,64.80,48.60
Icon weapon Mk12,Mk12,51,930 m/s,,,,,,,,,
Icon weapon Mk14,Mk14 EBR,61,853 m/s,20,000,64,44.80,38.40,28.80,143.30,100.30,86,64.50
Icon weapon Mk47Mutant,Mk47 Mutant,49,780 m/s,10,000,49,34.30,29.40,22,115.10,80.60,69,51.80
Icon weapon Molotov,Molotov Cocktail,,,,?,?,?,?,,,,
Icon weapon Mortar,Mortar,,,,,,,,,,,
Icon weapon Mosin Nagant,Mosin Nagant,79,760 m/s,16,000,102.70,71.80,61.60,46.20,197.50,138.20,118.50,88.80
Icon weapon P18C,P18C,23,375 m/s,7,000,22.40,15.70,13.40,10.10,44.90,31.40,26.90,20.20
Icon weapon M1911,P1911,42,250 m/s,6,000,40.60,28.40,24.30,18.20,81.20,56.80,48.70,36.50
Icon weapon P90,P90,35,,,,,,,,,,
Icon weapon M9,P92,34,380 m/s,7,000,34.50,24.20,20.70,15.50,69.10,48.40,41.40,31.10
Icon weapon PP-19 Bizon,PP-19 Bizon,35,408 m/s,,35,24.50,21,15.70,63,44,37.80,28.30
Icon weapon Panzerfaust,Panzerfaust,,,,,,,,,,,
Icon weapon QBU88,QBU,48,945 m/s,10,000,50.40,35.20,30.20,22.60,112.80,78.90,67.60,50.70
Icon weapon QBZ95,QBZ95,41,870 m/s,9,000,41,30.10,25.80,19.30,101,70.70,60.60,45.40
Icon weapon NagantM1895,R1895,64,330 m/s,8,000,54.80,38.30,32.80,24.60,109.60,76.70,65.70,49.30
Icon weapon R45,R45,65,330 m/s,8,000,54.80,38.30,32.80,24.60,109.60,76.70,65.70,49.30
Icon weapon Saiga12,S12K,24,350 m/s,5,000,31.40×9,22×9,18.80×9,14.10×9,20.90×9,14.60×9,12.50×9,9.40×9
Icon weapon Winchester,S1897,26,360 m/s,5,000,22.70×9,15.90×9,13.60×9,10.20×9,34.10×9,23.90×9,20.50×9,15.30×9
Icon weapon Berreta686,S686,26,370 m/s,5,000,23.10×9,16.20×9,13.80×9,10.40×9,34.70×9,24.30×9,20.80×9,15.60×9
Icon weapon SCAR-L,SCAR-L,41,870 m/s,9,000,41,30.10,25.80,19.30,101,70.70,60.60,45.40
Icon weapon SKS,SKS,53,800 m/s,20,000,55.60,38.90,33.30,25,124.50,87.10,74.70,56
Icon weapon SLR,SLR,56,840 m/s,20,000,60.90,42.60,36.50,27.40,136.3,95.4,81.7,61.3
Icon weapon Sawed-off,Sawed-off,22,330 m/s,8,000,19.90×8,13.90×8,11.90×8,8.90×8,29.80×8,20.90×8,17.90×8,13.40×8
Icon weapon Skorpion,Skorpion,22,350 m/s,5,000,22,15.40,13.20,9.90,44,30.80,26.40,19.80
Icon weapon SmokeBomb,Smoke Grenade,,,,,,,,,,,
Icon weapon Sticky Bomb,Sticky Bomb,,,,,,,,,,,
Icon weapon FlashBang,Stun Grenade,,,,,,,,,,,
Icon weapon Thompson,Tommy Gun,40,280 m/s,7,000,40,28,24,18,72,50.40,43.10,32.40
Icon weapon UMP,UMP45,41,360 m/s,7,000,39,27.30,23.40,17.50,70.20,49.10,42.10,31.50
Icon weapon VSS,VSS Vintorez,43,330 m/s,20,000,43,30.10,25.80,19.30,96.30,67.40,57.80,43.30
Icon weapon Vector 01,Vector,31,350 m/s,7,000,31,21.70,18.50,13.90,55.80,39,33.40,25.10
Icon weapon Win94 2021,Winchester Model 1894,66,760 m/s,16,000,72.60,50.80,43.50,32.60,165,115.40,99,74.20
